14-я (1942)`• Оливия де Хэвилленд`«Задержите рассвет»`                Эмми Браун` 
14-я (1942)`• Грир Гарсон`«Цветы в пыли»`                Эдна Кали Гледни` 
14-я (1942)`• Барбара Стэнвик`«С огоньком»`                Кэтрин О’Ши` 
15-я (1943)`• Грир Гарсон`«Миссис Минивер»`                миссис Кей Минивер` 
15-я (1943)`• Бетт Дейвис`«Вперёд, путешественник»`                Шарлотта Вэйл` 
15-я (1943)`• Кэтрин Хепбёрн`«Женщина года»`                Тесс Хардинг` 
15-я (1943)`• Розалинд Расселл`«Моя сестра Эйлин»`                Рут Шервуд` 
15-я (1943)`• Тереза Райт`«Гордость янки»`                Элеонор Твитчелл Гериг` 
16-я (1944)`• Дженнифер Джонс`«Песня Бернадетт»`                Бернадетта Субиру` 
16-я (1944)`• Джин Артур`«Чем больше, тем веселее»`                Констанс «Конни» Миллиган` 
16-я (1944)`• Ингрид Бергман`«По ком звонит колокол»`                Мария` 
16-я (1944)`• Джоан Фонтейн`«Постоянная нимфа»`                Тереза «Тесса» Сэнгер` 
16-я (1944)`• Грир Гарсон`«Мадам Кюри»`                Мария Склодовская-Кюри` 
17-я (1945)`• Ингрид Бергман`«Газовый свет»`                Пола Олквист` 
17-я (1945)`• Клодетт Кольбер`«С тех пор как вы ушли»`                миссис Энн Хилтон` 
17-я (1945)`• Бетт Дейвис`«Мистер Скеффингтон»`                Фанни Треллис Скеффингтон` 
17-я (1945)`• Грир Гарсон`«Миссис Паркингтон»`                Сюзи Паркингтон` 
17-я (1945)`• Барбара Стэнвик`«Двойная страховка»`                Филлис Дитрихсон` 
18-я (1946)`• Джоан Кроуфорд`«Милдред Пирс»`                Милдред Пирс` 
18-я (1946)`• Ингрид Бергман`«Колокола Святой Марии»`                сестра Мэри Бенедикт` 
18-я (1946)`• Грир Гарсон`«Долина решимости»`                Мэри Рэфферти` 
18-я (1946)`• Дженнифер Джонс`«Любовные письма»`                Синглтон / Виктория Морланд` 
18-я (1946)`• Джин Тирни`«Бог ей судья»`                Эллен Берент Харланд` 
19-я (1947)`• Оливия де Хэвилленд`«Каждому своё»`                мисс Джозефин «Джоди» Норрис` 
19-я (1947)`• Селия Джонсон`«Короткая встреча»`                Лора Джессон` 
19-я (1947)`• Дженнифер Джонс`«Дуэль под солнцем»`                Перл Чавес` 
19-я (1947)`• Розалинд Расселл`«Сестра Кенни»`                Элизабет Кенни` 
19-я (1947)`• Джейн Уайман`«Оленёнок»`                Орри Бакстер` 
20-я (1948)`• Лоретта Янг`«Дочь фермера»`                Кэтрин Холстром` 
20-я (1948)`• Джоан Кроуфорд`«Одержимая»`                Луиза Хауэлл` 
20-я (1948)`• Сьюзен Хэйворд`«Катастрофа: История женщины»`                Анжелика «Энджи» Эванс Конвей` 
20-я (1948)`• Дороти Макгуайр`«Джентльменское соглашение»`                Кэти Лэси` 
20-я (1948)`• Розалинд Расселл`«Траур к лицу Электре»`                Лавиния Мэннон` 
21-я (1949)`• Джейн Уайман`«Джонни Белинда»`                Белинда Макдональд` 
21-я (1949)`• Ингрид Бергман`«Жанна д’Арк»`                Жанна д’Арк` 
21-я (1949)`• Оливия де Хэвилленд`«Змеиная яма»`                Вирджиния Стюарт Каннингем` 
21-я (1949)`• Айрин Данн`«Я помню маму»`                Марта «Мама» Хэнсон` 
21-я (1949)`• Барбара Стэнвик`«Извините, ошиблись номером»`                Леона Стивенсон` 
22-я (1950)`• Оливия де Хэвилленд`«Наследница»`                Кэтрин Слопер` 
22-я (1950)`• Джинн Крейн`«Пинки»`                Патриция «Пинки» Джонсон` 
22-я (1950)`• Сьюзен Хэйворд`«Моё глупое сердце»`                Элоиз Уинтерс` 
22-я (1950)`• Дебора Керр`«Эдвард, мой сын»`                Эвелин Боулт` 
22-я (1950)`• Лоретта Янг`«Приходи в конюшню»`                сестра Маргарет` 
23-я (1951)`• Джуди Холидей`«Рождённая вчера»`                Эмма «Билли» Даун` 
23-я (1951)`• Энн Бакстер`«Всё о Еве»`                Ева Харрингтон` 
23-я (1951)`• Бетт Дейвис`«Всё о Еве»`                Марго Ченнинг` 
23-я (1951)`• Элинор Паркер`«В клетке»`                Мэри Аллен` 
23-я (1951)`• Глория Свенсон`«Бульвар Сансет»`                Норма Десмонд` 
24-я (1952)`• Вивьен Ли`«Трамвай „Желание“»`                Бланш Дюбуа` 
24-я (1952)`• Кэтрин Хепбёрн`«Африканская королева»`                Роуз Сейер` 
24-я (1952)`• Элинор Паркер`«Детективная история»`                Мэри Маклеод` 
24-я (1952)`• Шелли Уинтерс`«Место под солнцем»`                Элис Трипп` 
24-я (1952)`• Джейн Уайман`«Голубая вуаль»`                Луиза Мейсон` 
25-я (1953)`• Ширли Бут`«Вернись, малышка Шеба»`                Лола Делани` 
25-я (1953)`• Джоан Кроуфорд`«Внезапный страх»`                Мира Хадсон` 
25-я (1953)`• Бетт Дейвис`«Звезда»`                Маргарет Эллиот` 
25-я (1953)`• Джули Харрис`«На свадьбе»`                Фрэнсис «Фрэнки» Аддамс` 
25-я (1953)`• Сьюзен Хэйворд`«С песней в моём сердце»`                Джейн Фроман` 
26-я (1954)`• Одри Хепбёрн`«Римские каникулы»`                принцесса Анна` 
26-я (1954)`• Лесли Карон`«Лили»`                Лили Дюрье` 
26-я (1954)`• Ава Гарднер`«Могамбо»`                Элоиза Келли` 
26-я (1954)`• Дебора Керр`«Отныне и во веки веков»`                Карен Холмс` 
26-я (1954)`• Мэгги Макнамара`«Синяя луна»`                Пэтти О’Нилл` 
27-я (1955)`• Грейс Келли`«Деревенская девушка»`                Джорджи Элджин` 
27-я (1955)`• Дороти Дэндридж`«Кармен Джонс»`                Кармен Джонс` 
27-я (1955)`• Джуди Гарленд`«Звезда родилась»`                Эстер Блоджетт / Вики Лестер` 
27-я (1955)`• Одри Хепбёрн`«Сабрина»`                Сабрина Фэйрчайлд` 
27-я (1955)`• Джейн Уайман`«Великолепная одержимость»`                Хелен Филлипс` 
28-я (1956)`• Анна Маньяни`«Татуированная роза»`                Серафина Делла Роза` 
28-я (1956)`• Сьюзен Хэйворд`«Я буду плакать завтра»`                Лиллиан Рот` 
28-я (1956)`• Кэтрин Хепбёрн`«Лето»`                Джейн Хадсон` 
28-я (1956)`• Дженнифер Джонс`«Любовь — самая великолепная вещь на свете»`                доктор Хан Суйин` 
28-я (1956)`• Элинор Паркер`«Прерванная мелодия»`                Марджори Лоуренс` 
29-я (1957)`• Ингрид Бергман`«Анастасия»`                Анна Корева / великая княжна Анастасия` 
29-я (1957)`• Кэрролл Бейкер`«Куколка»`                «Куколка» Мейган` 
29-я (1957)`• Кэтрин Хепбёрн`«Продавец дождя»`                Лиззи Карри` 
29-я (1957)`• Нэнси Келли`«Дурная кровь»`                Кристин Пенмарк` 
29-я (1957)`• Дебора Керр`«Король и я»`                Анна Леонуэнс` 
30-я (1958)`• Джоан Вудворд`«Три лица Евы»`                Ева Уайт / Ева Блэк / Джейн` 
30-я (1958)`• Дебора Керр`«Бог знает, мистер Аллисон»`                сестра Анджела` 
30-я (1958)`• Анна Маньяни`«Дикий ветер»`                Джои` 
30-я (1958)`• Элизабет Тейлор`«Округ Рэйнтри»`                Сюзанна Дрейк` 
