1939 (11-я),★ «С собой не унесёшь»,Columbia Pictures,                Фрэнк Капра, 
1939 (11-я),«Приключения Робин Гуда»,Warner Bros.,                Хэл Б. Уоллис; Хенри Блэнк, 
1939 (11-я),«Регтайм-бэнд Александра»,20th Century Fox,                Дэррил Фрэнсис Занук; Гарри Джо Браун, 
1939 (11-я),«Город мальчиков»,Metro-Goldwyn-Mayer,                Джон В. Консидайн мл., 
1939 (11-я),«Цитадель»,Metro-Goldwyn-Mayer,                Виктор Сэвилл, 
1939 (11-я),«Четыре дочери»,Warner Bros.; First National,                Хенри Блэнк; Хэл Б. Уоллис, 
1939 (11-я),«Великая иллюзия»,R. A. O.; World Pictures,                Альберт Пинкович; Фрэнк Роллмер, 
1939 (11-я),«Иезавель»,Warner Bros.,                Хенри Блэнк; Хэл Б. Уоллис, 
1939 (11-я),«Пигмалион»,Metro-Goldwyn-Mayer,                Габриэль Паскаль, 
1939 (11-я),«Лётчик-испытатель»,Metro-Goldwyn-Mayer,                Луис Д. Лайтон, 
1940 (12-я),★ «Унесённые ветром»,Selznick; Metro-Goldwyn-Mayer,                Дэвид Селзник, 
1940 (12-я),«Победить темноту»,Warner Bros.,                Дэвид Льюис, 
1940 (12-я),«До свиданья; мистер Чипс»,Metro-Goldwyn-Mayer,                Виктор Сэвилл, 
1940 (12-я),«Любовный роман»,RKO Radio,                Лео МакКери, 
1940 (12-я),«Мистер Смит едет в Вашингтон»,Columbia Pictures,                Фрэнк Капра, 
1940 (12-я),«Ниночка»,Metro-Goldwyn-Mayer,                Сидни Фрэнклин, 
1940 (12-я),«О мышах и людях»,Roach; United Artists,                Льюис Майлстоун, 
1940 (12-я),«Дилижанс»,United Artists,                Уолтер Уэнджер, 
1940 (12-я),«Волшебник страны Оз»,Metro-Goldwyn-Mayer,                Мервин Лерой, 
1940 (12-я),«Грозовой перевал»,Goldwyn; United Artists,                Сэмюэл Голдвин, 
1941 (13-я),★ «Ребекка»,Selznick; United Artists,                Дэвид Селзник, 
1941 (13-я),«Всё это и небо в придачу»,Warner Bros.,                Джек Уорнер; Хэл Б. Уоллис; Дэвид Льюис, 
1941 (13-я),«Иностранный корреспондент»,Wanger; United Artists,                Уолтер Уэнджер, 
1941 (13-я),«Гроздья гнева»,20th Century Fox,                Дэррил Фрэнсис Занук; Наннэлли Джонсон, 
1941 (13-я),«Великий диктатор»,Chaplin; United Artists,                Чарли Чаплин, 
1941 (13-я),«Китти Фойл»,RKO Radio,                Дэвид Хемпстид, 
1941 (13-я),«Письмо»,Warner Bros.,                Хэл Б. Уоллис, 
1941 (13-я),«Долгий путь домой»,Argosy; Wanger; United Artists,                Джон Форд, 
1941 (13-я),«Наш городок»,Lesser; United Artists,                Сол Лессер, 
1941 (13-я),«Филадельфийская история»,Metro-Goldwyn-Mayer,                Джозеф Лео Манкевич, 
